BusLoad,BusNo,Latitude,Longitude,Operator,ServiceId
Seats Available,121,1.2819358333333333,103.82846,SBST,10589
Seats Available,186,1.2923483333333334,103.811117,SBST,52499
Seats Available,186,1.326343,103.84207433333333,SBST,52499
Seats Available,51,1.2911548333333334,103.82081766666667,SBST,28009
Seats Available,51,1.2986036666666667,103.8029585,SBST,28009
Seats Available,51,1.2791666666666668,103.78576466666667,SBST,28009
Standing Available,64,1.292503,103.81014183333333,SBST,80289
Seats Available,64,1.2891845,103.81691683333334,SBST,80289
Seats Available,64,1.290353,103.831485,SBST,80289
Seats Available,51,1.288104,103.8412935,SBST,64009
Seats Available,51,1.2983233333333333,103.85554816666667,SBST,64009
Seats Available,51,1.315604,103.8949285,SBST,64009
Seats Available,64,1.290353,103.831485,SBST,80289
Seats Available,64,1.3041695,103.85450816666666,SBST,80289
Seats Available,64,1.3243481666666668,103.8677415,SBST,80289
Seats Available,121,1.2887163333333334,103.82557933333334,SBST,10589
Seats Available,121,1.2819358333333333,103.82846,SBST,10589
Seats Available,121,1.2725856666666666,103.8236645,SBST,10589
Seats Available,186,1.2923483333333334,103.811117,SBST,52499
Seats Available,186,1.326343,103.84207433333333,SBST,52499
Seats Available,51,1.2911548333333334,103.82081766666667,SBST,28009
Seats Available,51,1.2986036666666667,103.8029585,SBST,28009
Seats Available,51,1.2791666666666668,103.78576466666667,SBST,28009
Standing Available,64,1.292503,103.81014183333333,SBST,80289
Seats Available,64,1.2891845,103.81691683333334,SBST,80289
Seats Available,64,1.290353,103.831485,SBST,80289
Seats Available,122,1.283769,103.83535533333334,SBST,10589
Seats Available,139,1.2915775,103.82607866666666,SBST,52009
Seats Available,139,1.293512,103.84401,SBST,52009
Seats Available,139,1.3064841666666667,103.8560675,SBST,52009
Seats Available,51,1.288104,103.8412935,SBST,64009
Seats Available,51,1.2983233333333333,103.85554816666667,SBST,64009
Seats Available,51,1.315604,103.8949285,SBST,64009
Seats Available,970,1.2942295000000001,103.83084983333333,SMRT,03239
Seats Available,122,1.2970116666666667,103.80777183333333,SBST,10589
Seats Available,122,1.283769,103.83535533333334,SBST,10589
Seats Available,139,1.2865545,103.81219833333333,SBST,10009
Seats Available,186,1.2923483333333334,103.811117,SBST,52499
Seats Available,186,1.326343,103.84207433333333,SBST,52499
Seats Available,51,1.2911548333333334,103.82081766666667,SBST,28009
Seats Available,51,1.2986036666666667,103.8029585,SBST,28009
Seats Available,51,1.2791666666666668,103.78576466666667,SBST,28009
Seats Available,970,1.2951855,103.805898,SMRT,45009
Seats Available,970,1.3310961666666667,103.7976445,SMRT,45009
Seats Available,970,1.3520881666666666,103.76002,SMRT,45009
Seats Available,122,1.283769,103.83535533333334,SBST,10589
Seats Available,139,1.2915775,103.82607866666666,SBST,52009
Seats Available,139,1.293512,103.84401,SBST,52009
Seats Available,139,1.3064841666666667,103.8560675,SBST,52009
Seats Available,51,1.288104,103.8412935,SBST,64009
Seats Available,51,1.2983233333333333,103.85554816666667,SBST,64009
Seats Available,51,1.315604,103.8949285,SBST,64009
Seats Available,970,1.2942295000000001,103.83084983333333,SMRT,03239
Seats Available,122,1.2970116666666667,103.80777183333333,SBST,10589
Seats Available,122,1.283769,103.83535533333334,SBST,10589
Seats Available,139,1.2865545,103.81219833333333,SBST,10009
Seats Available,186,1.2923483333333334,103.811117,SBST,52499
Seats Available,186,1.326343,103.84207433333333,SBST,52499
Seats Available,51,1.2986036666666667,103.8029585,SBST,28009
Seats Available,51,1.2791666666666668,103.78576466666667,SBST,28009
Seats Available,51,1.2988733333333333,103.76705283333334,SBST,28009
Seats Available,970,1.2951855,103.805898,SMRT,45009
Seats Available,970,1.3310961666666667,103.7976445,SMRT,45009
Seats Available,970,1.3520881666666666,103.76002,SMRT,45009
Seats Available,122,1.283769,103.83535533333334,SBST,10589
Seats Available,139,1.2915775,103.82607866666666,SBST,52009
Seats Available,139,1.293512,103.84401,SBST,52009
Seats Available,139,1.3064841666666667,103.8560675,SBST,52009
Seats Available,186,1.291207,103.81752583333333,SBST,03239
Seats Available,51,1.288104,103.8412935,SBST,64009
Seats Available,51,1.2983233333333333,103.85554816666667,SBST,64009
Seats Available,51,1.315604,103.8949285,SBST,64009
Seats Available,970,1.2942295000000001,103.83084983333333,SMRT,03239
Seats Available,122,1.2970116666666667,103.80777183333333,SBST,10589
Seats Available,122,1.283769,103.83535533333334,SBST,10589
Seats Available,139,1.2865545,103.81219833333333,SBST,10009
Seats Available,186,1.2923483333333334,103.811117,SBST,52499
Seats Available,186,1.326343,103.84207433333333,SBST,52499
Seats Available,51,1.2986036666666667,103.8029585,SBST,28009
Seats Available,51,1.2791666666666668,103.78576466666667,SBST,28009
Seats Available,51,1.2988733333333333,103.76705283333334,SBST,28009
Seats Available,970,1.2951855,103.805898,SMRT,45009
Seats Available,970,1.3310961666666667,103.7976445,SMRT,45009
Seats Available,970,1.3520881666666666,103.76002,SMRT,45009
Seats Available,111,1.2915291666666666,103.81483166666666,SBST,11009
Seats Available,111,1.304502,103.82215416666666,SBST,11009
Seats Available,111,1.2923974999999999,103.85724716666667,SBST,11009
Standing Available,120,1.291019,103.81518683333333,SBST,10589
Seats Available,120,1.2886155,103.81936816666666,SBST,10589
Seats Available,120,1.2794775,103.83940966666667,SBST,10589
Seats Available,139,1.2915775,103.82607866666666,SBST,52009
Seats Available,139,1.293512,103.84401,SBST,52009
Seats Available,139,1.3064841666666667,103.8560675,SBST,52009
Standing Available,145,1.2756776666666667,103.815008,SBST,52009
Seats Available,145,1.2673445,103.816453,SBST,52009
Standing Available,145,1.2859973333333334,103.84747966666667,SBST,52009
Seats Available,186,1.291207,103.81752583333333,SBST,03239
Standing Available,33,1.2860616666666667,103.826434,SBST,84009
Standing Available,33,1.2797901666666667,103.83972516666667,SBST,84009
Standing Available,33,1.3019156666666667,103.85708916666667,SBST,84009
Seats Available,51,1.288104,103.8412935,SBST,64009
Seats Available,51,1.2983233333333333,103.85554816666667,SBST,64009
Seats Available,51,1.315604,103.8949285,SBST,64009
Seats Available,64,1.2891845,103.81691683333334,SBST,80289
Seats Available,64,1.290353,103.831485,SBST,80289
Seats Available,64,1.3041695,103.85450816666666,SBST,80289
Seats Available,970,1.2942295000000001,103.83084983333333,SMRT,03239
Seats Available,111,1.2922601666666667,103.8117815,SBST,11009
Seats Available,111,1.3062813333333334,103.79420066666667,SBST,11009
Seats Available,139,1.2865545,103.81219833333333,SBST,10009
Seats Available,186,1.2923483333333334,103.811117,SBST,52499
Seats Available,186,1.326343,103.84207433333333,SBST,52499
Seats Available,51,1.2986036666666667,103.8029585,SBST,28009
Seats Available,51,1.2791666666666668,103.78576466666667,SBST,28009
Seats Available,51,1.2988733333333333,103.76705283333334,SBST,28009
Seats Available,970,1.2951855,103.805898,SMRT,45009
Seats Available,970,1.3310961666666667,103.7976445,SMRT,45009
Seats Available,970,1.3520881666666666,103.76002,SMRT,45009
Seats Available,111,1.2915291666666666,103.81483166666666,SBST,11009
Seats Available,111,1.304502,103.82215416666666,SBST,11009
Seats Available,111,1.2923974999999999,103.85724716666667,SBST,11009
Standing Available,120,1.291019,103.81518683333333,SBST,10589
Seats Available,120,1.2886155,103.81936816666666,SBST,10589
Seats Available,120,1.2794775,103.83940966666667,SBST,10589
Seats Available,139,1.2915775,103.82607866666666,SBST,52009
Seats Available,139,1.293512,103.84401,SBST,52009
Seats Available,139,1.3064841666666667,103.8560675,SBST,52009
Standing Available,145,1.2916026666666667,103.814311,SBST,52009
Standing Available,145,1.2756776666666667,103.815008,SBST,52009
Seats Available,145,1.2673445,103.816453,SBST,52009
Seats Available,186,1.291207,103.81752583333333,SBST,03239
Standing Available,33,1.2860616666666667,103.826434,SBST,84009
Standing Available,33,1.2797901666666667,103.83972516666667,SBST,84009
Standing Available,33,1.3019156666666667,103.85708916666667,SBST,84009
Seats Available,51,1.2921905,103.810601,SBST,64009
Seats Available,51,1.288104,103.8412935,SBST,64009
Seats Available,51,1.2983233333333333,103.85554816666667,SBST,64009
Seats Available,64,1.2891845,103.81691683333334,SBST,80289
Seats Available,64,1.290353,103.831485,SBST,80289
Seats Available,64,1.3041695,103.85450816666666,SBST,80289
Seats Available,970,1.2942295000000001,103.83084983333333,SMRT,03239
Seats Available,111,1.3062813333333334,103.79420066666667,SBST,11009
Seats Available,120,1.274999,103.801865,SBST,10589
Seats Available,120,1.2758366666666667,103.81344416666667,SBST,10589
Standing Available,120,1.291019,103.81518683333333,SBST,10589
Seats Available,139,1.2865545,103.81219833333333,SBST,10009
Seats Available,145,1.2923475,103.81126466666667,SBST,11379
Seats Available,186,1.2923483333333334,103.811117,SBST,52499
Seats Available,186,1.326343,103.84207433333333,SBST,52499
Seats Available,51,1.2986036666666667,103.8029585,SBST,28009
Seats Available,51,1.2791666666666668,103.78576466666667,SBST,28009
Seats Available,51,1.2988733333333333,103.76705283333334,SBST,28009
Standing Available,64,1.292503,103.81014183333333,SBST,80289
Seats Available,64,1.2891845,103.81691683333334,SBST,80289
Seats Available,64,1.290353,103.831485,SBST,80289
Seats Available,970,1.2951855,103.805898,SMRT,45009
Seats Available,970,1.3310961666666667,103.7976445,SMRT,45009
Seats Available,970,1.3520881666666666,103.76002,SMRT,45009
Seats Available,111,1.2922601666666667,103.8117815,SBST,11009
Seats Available,111,1.3062813333333334,103.79420066666667,SBST,11009
Seats Available,122,1.283769,103.83535533333334,SBST,10589
Seats Available,132,1.2939533333333333,103.81589566666666,SBST,10009
Seats Available,32,1.2880321666666665,103.82281883333333,SBST,84009
Seats Available,32,1.291983,103.84494816666667,SBST,84009
Seats Available,32,1.3061728333333333,103.8825605,SBST,84009
Seats Available,111,1.304502,103.82215416666666,SBST,11009
Seats Available,111,1.2923974999999999,103.85724716666667,SBST,11009
