Longitude,Latitude,date,time
1.33866,103.96005,2017-03-17,18:50:34
1.39146,103.90147,2017-03-17,18:53:22
1.383799,103.8496,2017-03-17,18:54:20
1.37793,103.92604,2017-03-17,18:53:22
1.33403,103.74641,2017-03-17,18:52:25
1.32664,103.73248,2017-03-17,18:53:22
1.31949,103.85473,2017-03-17,18:50:34
1.44493,103.77598,2017-03-17,18:58:04
1.39346,103.8904,2017-03-17,18:51:30
1.29609,103.85625,2017-03-17,18:53:22
1.32337,103.84797,2017-03-17,18:54:20
1.35958,103.89538,2017-03-17,18:57:08
1.358156,103.8476,2017-03-17,18:56:13
1.35639,103.9016,2017-03-17,18:51:30
1.32608,103.86089,2017-03-17,18:51:30
1.35821,103.98855,2017-03-17,18:55:15
1.44046,103.7706,2017-03-17,18:59:48
1.344284,103.739,2017-03-17,18:55:15
1.29176,103.84027,2017-03-17,18:54:20
1.29753,103.83816,2017-03-17,18:52:25
1.35148,103.98521,2017-03-17,18:51:30
1.29428,103.85682,2017-03-17,18:53:22
1.407793,103.8287,2017-03-17,18:55:15
1.35115,103.98452,2017-03-17,18:53:22
1.31333,103.67918,2017-03-17,18:54:20
1.44447,103.81151,2017-03-17,18:58:04
1.4426,103.7693,2017-03-17,18:57:08
1.436088,103.7081,2017-03-17,18:50:34
1.43851,103.7752,2017-03-17,18:55:15
1.32966,103.71027,2017-03-17,18:54:20
1.27563,103.84536,2017-03-17,18:50:34
1.348055,103.9352,2017-03-17,18:55:15
1.29007,103.8501,2017-03-17,18:55:15
1.31847,103.9191,2017-03-17,18:52:25
1.45329,103.81566,2017-03-17,18:57:08
1.2973,103.78164,2017-03-17,18:57:08
1.31132,103.84261,2017-03-17,18:54:20
1.39753,103.90265,2017-03-17,18:55:15
1.31411,103.8814,2017-03-17,18:51:30
1.3825,103.89316,2017-03-17,18:56:13
1.31216,103.7719,2017-03-17,18:59:48
1.30793,103.7935,2017-03-17,18:53:22
1.286685,103.8284,2017-03-17,18:50:34
1.32032,103.93854,2017-03-17,18:54:20
1.31779,103.94491,2017-03-17,18:50:34
1.35521,103.98765,2017-03-17,18:54:20
1.34916,103.72435,2017-03-17,18:56:13
1.391003,103.909,2017-03-17,18:55:15
1.3507,103.8492,2017-03-17,18:50:34
1.29137,103.85991,2017-03-17,18:58:04
1.351,103.98697,2017-03-17,18:53:22
1.28137,103.84937,2017-03-17,18:57:08
1.30398,103.76333,2017-03-17,18:51:30
1.40575,103.78988,2017-03-17,18:57:08
1.33944,103.85271,2017-03-17,18:50:34
1.35673,103.98962,2017-03-17,18:56:13
1.345764,103.6828,2017-03-17,18:57:08
1.35079,103.85264,2017-03-17,18:50:34
1.290039,103.8049,2017-03-17,18:53:22
1.285389,103.851,2017-03-17,18:53:22
1.29476,103.82697,2017-03-17,18:57:08
1.37847,103.84362,2017-03-17,18:54:20
1.35459,103.8906,2017-03-17,18:58:56
1.33331,103.74067,2017-03-17,18:56:13
1.35645,103.90165,2017-03-17,18:50:34
1.31194,103.8412,2017-03-17,18:56:13
1.31769,103.90843,2017-03-17,18:54:20
1.33239,103.96464,2017-03-17,18:53:22
1.36179,103.7485,2017-03-17,18:51:30
1.31695,103.85314,2017-03-17,18:58:04
1.35165,103.98523,2017-03-17,18:52:25
1.33951,103.74779,2017-03-17,18:52:25
1.41757,103.83753,2017-03-17,18:56:13
1.30328,103.8868,2017-03-17,18:56:13
1.38287,103.8988,2017-03-17,18:56:13
1.34371,103.737,2017-03-17,18:56:13
1.2888,103.83764,2017-03-17,18:57:08
1.329535,103.8923,2017-03-17,18:57:08
1.291324,103.837,2017-03-17,18:58:56
1.35229,103.98501,2017-03-17,18:52:25
1.29781,103.84271,2017-03-17,18:50:34
1.32784,103.86197,2017-03-17,18:57:08
1.27061,103.85992,2017-03-17,18:50:34
1.35307,103.69635,2017-03-17,18:54:20
1.29711,103.85567,2017-03-17,18:50:34
1.30877,103.90518,2017-03-17,18:56:13
1.33104,103.84898,2017-03-17,18:51:30
1.32766,103.7516,2017-03-17,18:54:20
1.35691,103.98809,2017-03-17,18:51:30
1.44898,103.81797,2017-03-17,18:55:15
1.375004,103.7727,2017-03-17,18:58:56
1.34379,103.94754,2017-03-17,18:52:25
1.31441,103.9372,2017-03-17,18:56:13
1.35168,103.87517,2017-03-17,18:58:04
1.35421,103.96367,2017-03-17,18:50:34
1.29506,103.7841,2017-03-17,18:55:15
1.31365,103.83874,2017-03-17,18:53:22
1.35458,103.8906,2017-03-17,18:50:34
1.33124,103.79661,2017-03-17,18:58:04
1.27982,103.8597,2017-03-17,18:58:04
1.42359,103.83823,2017-03-17,18:50:34
1.306396,103.8631,2017-03-17,18:57:08
1.33967,103.8945,2017-03-17,18:53:22
1.33217,103.90226,2017-03-17,18:58:04
1.36897,103.84707,2017-03-17,18:54:20
1.30554,103.83095,2017-03-17,18:57:08
1.30749,103.85395,2017-03-17,18:58:04
1.368321,103.8383,2017-03-17,18:55:15
1.307492,103.7969,2017-03-17,18:58:04
1.44405,103.7924,2017-03-17,18:58:56
1.34207,103.85355,2017-03-17,18:54:20
1.43695,103.7961,2017-03-17,18:54:20
1.43047,103.82685,2017-03-17,18:57:08
1.29175,103.84528,2017-03-17,18:55:15
1.45747,103.79661,2017-03-17,18:55:15
