Longitude,Latitude,date,time
1.30598,103.84815,2017-03-15,18:56:35
1.34589,103.71588,2017-03-15,18:58:33
1.39805,103.89014,2017-03-15,18:56:35
1.42592,103.83341,2017-03-15,18:59:31
1.32946,103.84692,2017-03-15,18:58:33
1.337408,103.8581,2017-03-15,18:57:33
1.32678,103.82632,2017-03-15,18:58:33
1.32273,103.89665,2017-03-15,18:57:33
1.365856,103.8951,2017-03-15,18:59:31
1.25438,103.82567,2017-03-15,18:58:33
1.33849,103.69284,2017-03-15,18:56:35
1.35024,103.8738,2017-03-15,18:55:39
1.35346,103.84844,2017-03-15,18:55:39
1.32984,103.92654,2017-03-15,18:55:39
1.33537,103.8576,2017-03-15,18:56:35
1.34622,103.89225,2017-03-15,18:59:31
1.43049,103.77188,2017-03-15,18:56:35
1.44979,103.82173,2017-03-15,18:58:33
1.36982,103.84715,2017-03-15,18:56:35
1.33408,103.8471,2017-03-15,18:57:33
1.31571,103.76955,2017-03-15,18:57:33
1.36975,103.74779,2017-03-15,18:56:35
1.29002,103.86089,2017-03-15,18:58:33
1.35132,103.96781,2017-03-15,18:56:35
1.316014,103.8969,2017-03-15,18:55:39
1.35067,103.98483,2017-03-15,18:56:35
1.30242,103.85749,2017-03-15,18:57:33
1.35157,103.84805,2017-03-15,18:56:35
1.35284,103.98546,2017-03-15,18:57:33
1.36892,103.84854,2017-03-15,18:55:39
1.42615,103.8372,2017-03-15,18:56:35
1.33003,103.79506,2017-03-15,18:55:39
1.3656,103.83952,2017-03-15,18:58:33
1.31118,103.82611,2017-03-15,18:58:33
1.30571,103.85131,2017-03-15,18:56:35
1.357754,103.94,2017-03-15,18:58:33
1.37124,103.83646,2017-03-15,18:57:33
1.36476,103.8971,2017-03-15,18:58:33
1.430748,103.828,2017-03-15,18:58:33
1.35142,103.98518,2017-03-15,18:56:35
1.37289,103.93051,2017-03-15,18:57:33
1.35196,103.98467,2017-03-15,18:57:33
1.42878,103.83525,2017-03-15,18:58:33
1.34173,103.75543,2017-03-15,18:59:31
1.35317,103.96615,2017-03-15,18:56:35
1.32091,103.86254,2017-03-15,18:58:33
1.35156,103.70268,2017-03-15,18:57:33
1.31643,103.77123,2017-03-15,18:59:31
1.31125,103.83959,2017-03-15,18:59:31
1.31295,103.66566,2017-03-15,18:58:33
1.28298,103.85999,2017-03-15,18:58:33
1.33383,103.81582,2017-03-15,18:55:39
1.28257,103.8502,2017-03-15,18:57:33
1.37933,103.76039,2017-03-15,18:55:39
1.33762,103.89596,2017-03-15,18:58:33
1.2716,103.80722,2017-03-15,18:57:33
1.31931,103.8308,2017-03-15,18:55:39
1.3529,103.86843,2017-03-15,18:56:35
1.34544,103.8391,2017-03-15,18:57:33
1.31059,103.86107,2017-03-15,18:59:31
1.35859,103.99006,2017-03-15,18:55:39
1.29599,103.80542,2017-03-15,18:56:35
1.34448,103.72787,2017-03-15,18:55:39
1.37469,103.83861,2017-03-15,18:55:39
1.30801,103.83336,2017-03-15,18:58:33
1.30115,103.77203,2017-03-15,18:59:31
1.358417,103.892,2017-03-15,18:55:39
1.30446,103.8513,2017-03-15,18:59:31
1.32138,103.8832,2017-03-15,18:55:39
1.35224,103.98465,2017-03-15,18:59:31
1.42505,103.79737,2017-03-15,18:55:39
1.36574,103.96285,2017-03-15,18:55:39
1.35707,103.84267,2017-03-15,18:58:33
1.30727,103.81962,2017-03-15,18:55:39
1.31007,103.79692,2017-03-15,18:57:33
1.34609,103.9614,2017-03-15,18:59:31
1.30116,103.8535,2017-03-15,18:55:39
1.28735,103.82234,2017-03-15,18:55:39
1.32233,103.771,2017-03-15,18:55:39
1.36881,103.96648,2017-03-15,18:59:31
1.384,103.8493,2017-03-15,18:55:39
1.345594,103.7577,2017-03-15,18:58:33
1.37543,103.95626,2017-03-15,18:59:31
1.34667,103.96782,2017-03-15,18:58:33
1.31075,103.86449,2017-03-15,18:57:33
1.33099,103.64636,2017-03-15,18:58:33
1.39749,103.9038,2017-03-15,18:57:33
1.32182,103.84488,2017-03-15,18:59:31
1.38051,103.7565,2017-03-15,18:55:39
1.36653,103.87343,2017-03-15,18:55:39
1.365528,103.872,2017-03-15,18:55:39
1.3181,103.80834,2017-03-15,18:59:31
1.38323,103.88969,2017-03-15,18:55:39
1.30792,103.9088,2017-03-15,18:55:39
1.46221,103.80958,2017-03-15,18:56:35
1.36131,103.83852,2017-03-15,18:56:35
1.300144,103.85,2017-03-15,18:57:33
1.368351,103.8514,2017-03-15,18:59:31
1.33353,103.89026,2017-03-15,18:58:33
1.3872,103.87295,2017-03-15,18:57:33
1.35793,103.9886,2017-03-15,18:57:33
1.37184,103.881,2017-03-15,18:56:35
1.35195,103.9849,2017-03-15,18:55:39
1.4005,103.90396,2017-03-15,18:56:35
1.37711,103.93818,2017-03-15,18:58:33
1.34972,103.8898,2017-03-15,18:59:31
1.4042,103.89699,2017-03-15,18:58:33
1.30602,103.90854,2017-03-15,18:55:39
1.3643,103.87427,2017-03-15,18:55:39
1.32743,103.9258,2017-03-15,18:59:31
1.3102,103.85925,2017-03-15,18:56:35
1.32302,103.82892,2017-03-15,18:57:33
1.31574,103.8056,2017-03-15,18:59:31
1.39395,103.91272,2017-03-15,18:56:35
1.3111,103.86477,2017-03-15,18:55:39
1.448416,103.826,2017-03-15,18:55:39
1.32997,103.7778,2017-03-15,18:57:33
1.3542,103.98688,2017-03-15,18:57:33
1.38867,103.9033,2017-03-15,18:57:33
1.274799,103.8006,2017-03-15,18:59:31
1.29254,103.85746,2017-03-15,18:57:33
1.355054,103.945,2017-03-15,18:59:31
1.31121,103.93447,2017-03-15,18:57:33
1.3681,103.94456,2017-03-15,18:59:31
1.35208,103.9849,2017-03-15,18:58:33
1.35054,103.98453,2017-03-15,18:56:35
1.3154,103.8562,2017-03-15,18:55:39
1.383965,103.849,2017-03-15,18:58:33
1.42976,103.77999,2017-03-15,18:58:33
1.33992,103.79643,2017-03-15,18:55:39
1.35171,103.98492,2017-03-15,18:58:33
1.35219,103.98545,2017-03-15,18:57:33
1.28299,103.82131,2017-03-15,18:57:33
1.27602,103.79214,2017-03-15,18:56:35
1.28569,103.8537,2017-03-15,18:59:31
1.39005,103.74548,2017-03-15,18:55:39
1.39877,103.8884,2017-03-15,18:59:31
1.28,103.85346,2017-03-15,18:56:35
1.3488,103.98467,2017-03-15,18:57:33
1.346702,103.9444,2017-03-15,18:57:33
1.34191,103.83801,2017-03-15,18:57:33
1.35748,103.98993,2017-03-15,18:59:31
1.35839,103.9888,2017-03-15,18:58:33
1.35143,103.9852,2017-03-15,18:59:31
1.43962,103.83986,2017-03-15,18:55:39
1.39829,103.91315,2017-03-15,18:56:35
1.43978,103.76951,2017-03-15,18:58:33
1.44038,103.79948,2017-03-15,18:56:35
1.39673,103.81878,2017-03-15,18:58:33
1.30397,103.86566,2017-03-15,18:59:31
1.30348,103.76496,2017-03-15,18:58:33
1.35857,103.98917,2017-03-15,18:59:31
1.33422,103.84597,2017-03-15,18:55:39
